Polymer Name,SMILES,Chiral? ,# C atoms on SC,# O atoms on SC,# C-C (or C-O )bond on SC,# SC braching pts,# atoms (C and O) between braching and BB ,# atoms (C and O) after branching,# total branches,# SC  units,# of C atoms on BB,# of heteroatoms atoms on BB,# of C-C rotatable on BB,# of C=C bond on BB,# of rings,# of conjugated units on BB,Ratom_C,Ratom_all,Rbond_1,Rbond_2,Rring_1,Rring_2,Rring_3,Rring_4,Rring_5,Rring_6,# of atoms,# of branching pts,# atom before branching,# atom after braching ,Mn,Mw,PDI,Energetic Asymmetry,Structural Asymmetry
PII,O=C1/C(C2=CC=CC=C2N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3C=CC=C4)=O,1,44,0,42,2,2,40,4,2,16,4,1,9,4,1,2.75,2.2,4.67,42,0.5,1,10.5,2,4,42,44,2,2,40,39850,144213,3.62,0,0
PII-T,O=C1/C(C2=CC=CC=C2N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3C=CC(C5=CC=CS5)=C4)=O,1,44,0,42,2,2,40,4,2,20,5,2,11,5,2,2.2,1.76,3.82,21,0.4,0.8,8.4,1,2,21,44,2,2,40,29218,67518,2.31,0.00042,30
PII-2T,O=C1/C(C2=CC=CC=C2N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3C=CC(C5=CC=C(C6=CC=CS6)S5)=C4)=O,1,44,0,42,2,2,40,4,2,24,6,3,13,6,3,1.83,1.47,3.23,14,0.33,0.67,7,0.67,1.33,14,44,2,2,40,22882,93379,4.08,0.00042,30
PTII-2T,O=C1/C(C2=C(C=CS2)N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3SC(C5=CC=C(C6=CC=CS6)S5)=C4)=O,1,44,0,42,2,2,40,4,2,20,8,3,11,6,3,2.2,1.57,3.82,14,0.33,0.67,7,0.67,1.33,14,44,2,2,40,21232,73451,3.46,0.00032,30
PII-TT,O=C1/C(C2=CC=CC=C2N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3C=CC(C5=CC(SC=C6)=C6S5)=C4)=O,1,44,0,42,2,2,40,4,2,22,6,2,12,6,2,2,1.57,3.5,21,0.33,0.67,7,1,2,21,44,2,2,40,13087,34700,2.65,0.00064,30
PII-3T,O=C1/C(C2=CC=CC=C2N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3C=CC(C5=CC=C(C6=CC=C(C7=CC=CS7)S6)S5)=C4)=O,0,44,0,42,2,2,40,4,2,28,7,4,15,7,4,1.57,1.26,2.8,10.5,0.29,0.57,6,0.5,1,10.5,44,2,2,40,8333,20330,2.44,0.00032,30
PII-TTT,O=C1/C(C2=CC=CC=C2N1CC(CCCCCCCCCC)CCCCCCCCCC)=C3C(N(CC(CCCCCCCCCC)CCCCCCCCCC)C4=C/3C=CC(C5=CC(SC6=C7SC=C6)=C7S5)=C4)=O,0,44,0,42,2,2,40,4,2,24,7,2,13,7,2,1.83,1.42,3.23,21,0.29,0.57,6,1,2,21,44,2,2,40,9232,20794,2.25,0.00057,30
PTQ-6bO2,FC(C(F)=CC1=C2N=CC(OCC(COCCOCCOCCOC)COCCOCCOCCOC)=N1)=C2C3=CC=CS3,1,18,9,26,1,2,24,2,1,12,5,2,7,3,2,1.5,1.59,3.71,13,0.33,0.67,8.67,0.5,1,13,27,1,2,24,52000,98000,1.88,0.00078,45
PTQ-4bO2,FC(C(F)=CC1=C2N=CC(OCC(COCCOCCOC)COCCOCCOC)=N1)=C2C3=CC=CS3,1,14,7,20,1,2,18,2,1,12,5,2,7,3,2,1.17,1.24,2.86,10,0.33,0.67,6.67,0.5,1,10,21,1,2,18,110000,257000,2.34,0.00078,45
PTQ-2bO2,FC(C(F)=CC1=C2N=CC(OCC(COCCOC)COCCOC)=N1)=C2C3=CC=CS3,0,10,5,14,1,2,12,2,1,12,5,2,7,3,2,0.83,0.88,2,7,0.33,0.67,4.67,0.5,1,7,15,1,2,12,56000,154000,2.75,0.00078,45
PTQ-6O,FC(C(F)=CC1=C2N=CC(OCCOCCOCCOCCOCCOCCOC)=N1)=C2C3=CC=CS3,0,13,7,19,0,0,20,1,1,12,5,2,7,3,2,1.08,1.18,2.71,9.5,0.33,0.33,6.33,0.5,0.5,9.5,20,0,N/A,N/A,11000,26000,2.36,0.00078,45
DPP2T-T4,O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC([H])=C(C6=C([H])C=CS6)S5)S4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C3=O,1,48,0,46,2,6,40,4,2,22,8,5,12,6,5,2.181818182,1.6,3.833333333,9.2,0.333333333,0.666666667,7.666666667,0.4,0.8,9.2,48,2,6,40,12200,25700,2.106557377,0.00032,30
DPP2T-T2F2,O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC(F)=C(C6=C(F)C=CS6)S5)S4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C3=O,1,48,0,46,2,6,40,4,2,22,10,5,12,6,5,2.181818182,1.5,3.833333333,9.2,0.333333333,0.666666667,7.666666667,0.4,0.8,9.2,48,2,6,40,21800,122600,5.623853211,0.00033,45
DPP2T-T2M2,O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC(C)=C(C6=C(C)C=CS6)S5)S4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C3=O,1,48,0,46,2,6,40,4,2,24,8,5,12,6,5,2,1.5,3.833333333,9.2,0.333333333,0.666666667,7.666666667,0.4,0.8,9.2,48,2,6,40,30700,68100,2.218241042,0.00426,45
DPP2T-TT,O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC6=C(C=CS6)S5)S4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C3=O,1,48,0,46,2,6,40,4,2,20,8,4,11,6,4,2.4,1.714285714,4.181818182,11.5,0.333333333,0.666666667,7.666666667,0.5,1,11.5,48,2,6,40,60732,195723,3.222732662,0.00036,30
DPP2T-Btz,O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC6=C(C=CS6)S5)S4)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C3=O,1,48,0,46,2,6,40,4,2,20,9,4,12,6,4,2.4,1.655172414,3.833333333,11.5,0.333333333,0.666666667,7.666666667,0.5,1,11.5,48,2,6,40,177000,460200,2.6,0.00233,165
